statecode,statename,distnew_1,nfhs1_districtname,districtcode_nfhs1,distnew_2,nfhs2_districtname,districtcode_nfhs2,state_nfhs5,name_nfhs5,distnew_4,nfhs4_districtname,districtcode_nfhs4,distnew_5,nfhs5_districtname,districtcode_nfhs5,state_sbm,district_sbm,,,,,,,,,,,,,,
3,assam,1282,Hailakandi,22,,,,117,assam,1282,hailakandi,318,1282,hailakandi,318,ASSAM,HAILAKANDI,,,,,,,,,,,,,,
3,assam,1280,Cachar,23,1280,Cachar,23,117,assam,1280,cachar,316,1280,cachar,316,ASSAM,CACHAR,,,,,,,,,,,,,,
,,,,,,,,117,assam,1279,dima hasao,315,1279,dima hasao,315,ASSAM,DIMA HASAO,,,,,,,,,,,,,,
4,bihar,1212,Patna,1,1212,Patna,1,109,bihar,1212,patna,230,1212,patna,230,BIHAR,PATNA,,,,,,,,,,,,,,
4,bihar,1211,Nalanda,2,1211,Nalanda,2,109,bihar,1211,nalanda,229,1211,nalanda,229,BIHAR,NALANDA,,,,,,,,,,,,,,
4,bihar,1213,Bhojpur,3,1213,Bhojpur,3,109,bihar,1213,bhojpur,231,1213,bhojpur,231,BIHAR,BHOJPUR,,,,,,,,,,,,,,
,,,,,,,,109,bihar,1213,buxar,232,1213,buxar,232,BIHAR,BUXAR,,,,,,,,,,,,,,
4,bihar,1216,Rohtas,4,1216,Rohtas,4,109,bihar,1216,rohtas,234,1216,rohtas,234,BIHAR,SASARAM(ROHTAS),,,,,,,,,,,,,,
,,,,,,,,109,bihar,1216,kaimur (bhabua),233,1216,kaimur (bhabua),233,BIHAR,KAIMUR(BHABUA),,,,,,,,,,,,,,
4,bihar,,,,1217,Aurangabad,5,109,bihar,1217,aurangabad,235,1217,aurangabad,235,BIHAR,AURANGABAD,,,,,,,,,,,,,,
4,bihar,1221,Jehanabad,6,1221,Jehanabad,6,109,bihar,1221,jehanabad,239,1221,jehanabad,239,BIHAR,JEHANABAD,,,,,,,,,,,,,,
,,,,,,,,109,bihar,1221,arwal,240,1221,arwal,240,BIHAR,ARWAL,,,,,,,,,,,,,,
4,bihar,1218,Gaya,7,1218,Gaya,7,109,bihar,1218,gaya,236,1218,gaya,236,BIHAR,GAYA,,,,,,,,,,,,,,
4,bihar,1219,Nawada,8,1219,Nawada,8,109,bihar,1219,nawada,237,1219,nawada,237,BIHAR,NAWADA,,,,,,,,,,,,,,
4,bihar,1201,Saran,9,1201,Saran,9,109,bihar,1201,saran,219,1201,saran,219,BIHAR,SARAN,,,,,,,,,,,,,,
4,bihar,1200,Siwan,10,1200,Siwan,10,109,bihar,1200,siwan,218,1200,siwan,218,BIHAR,SIWAN,,,,,,,,,,,,,,
4,bihar,1199,Gopalganj,11,1199,Gopalganj,11,109,bihar,1199,gopalganj,217,1199,gopalganj,217,BIHAR,GOPALGANJ,,,,,,,,,,,,,,
4,bihar,1185,Pashchim Champaran,12,1185,Pashchim Champaran,12,109,bihar,1185,pashchim champaran,203,1185,pashchim champar,203,BIHAR,PASHCHIM CHAMPARAN,,,,,,,,,,,,,,
4,bihar,1186,Purba Champaran,13,1186,Purba Champaran,13,109,bihar,1186,purba champaran,204,1186,purba champaran,204,BIHAR,PURBA CHAMPARAN,,,,,,,,,,,,,,
4,bihar,1188,Sitamarhi,14,1188,Sitamarhi,14,109,bihar,1188,sitamarhi,206,1188,sitamarhi,206,BIHAR,SITAMARHI,,,,,,,,,,,,,,
,,,,,,,,109,bihar,1188,sheohar,205,1188,sheohar,205,BIHAR,SHEOHAR,,,,,,,,,,,,,,
4,bihar,1198,Muzaffarpur,15,1198,Muzaffarpur,15,109,bihar,1198,muzaffarpur,216,1198,muzaffarpur,216,BIHAR,MUZAFFARPUR,,,,,,,,,,,,,,
4,bihar,1202,Vaishali,16,1202,Vaishali,16,109,bihar,1202,vaishali,220,1202,vaishali,220,BIHAR,VAISHALI,,,,,,,,,,,,,,
4,bihar,1204,Begusarai,17,1204,Begusarai,17,109,bihar,1204,begusarai,222,1204,begusarai,222,BIHAR,BEGUSARAI,,,,,,,,,,,,,,
4,bihar,1203,Samastipur,18,1203,Samastipur,18,109,bihar,1203,samastipur,221,1203,samastipur,221,BIHAR,SAMASTIPUR,,,,,,,,,,,,,,
